ko,name,description,disease_category
"H00867","Radioulnar synostosis with amegakaryocytic thrombocytopenia","This disease is a rare combination of proximal radio-ulnar synostosis and congenital amegakaryocytic thrombocytopenia. Bruising and bleeding problems are observed since birth in affected individuals. The disease is related with HOXA11 mutation.","Congenital malformation"
"H01189","Transaldolase deficiency","Transaldolase (TALDO) deficiency is an inborn error of the pentose phosphate pathway (PPP), presenting primarily with liver disease and variable clinical course. TALDO is one of the key enzymes the PPP. The severity of the symptoms can vary, ranging from fetal hydrops to slowly progressive liver cirrhosis, but patients show common symptoms like hydrops fetalis, dysmorphic features, liver dysfunction (cirrhosis), hemolytic anemia with renal involvement, and heart problems. The biochemical profile indicates an elevated level of erythritol, arabitol, ribitol, sedoheptitol, perseitol, sedoheptulose, mannoheptulose, and sedoheptulose-7P. The disorder is caused by mutations in the TALDO gene.","Inherited metabolic disease"
"H02368","Developmental delay with short stature, dysmorphic facial features, and sparse hair","Developmental delay with short stature, dysmorphic facial features, and sparse hair (DEDSSH) is an autosomal recessive intellectual disability with short stature, craniofacial and ectodermal anomalies. It has been reported that DPH1 is responsible gene for DEDSSH.","Congenital malformation"
"H01519","Scabies","Scabies is a disease caused by the ectoparasitic mite Sarcoptes scabiei. Scabies is a contagious cutaneous inflammation and common among many different species of animals. S. scabiei burrows into the skin of their host, reproducing and laying eggs in the burrows. Transmission of the mite commonly occurs by skin-to-skin contact, but with crusted scabies it may also occur through fomites, such as infected clothing or bedding.","Infectious disease"
"H01941","Glycogen storage disease type III","Glycogen storage disease type III (GSD-III), also known as Cori disease or Forbes disease, is an autosomal recessive disorder of glycogen metabolism caused by deficient activity of glycogen debranching enzyme AGL. Most GSD-III patients have AGL deficiency in both the liver and muscle (type IIIa), but some have it in the liver but not muscle (type IIIb).","Inherited metabolic disease"
"H00893","Skin fragility-woolly hair syndrome","Skin fragility-woolly hair syndrome is a rare autosomal recessive genodermatosis caused by defective desmoplakin, an important desmosomal plaque protein. Patients with skin fragility-woolly hair syndrome present with symptoms including focal and diffuse palmoplantar keratoderma, woolly hair, varying degrees of alopecia, and dystrophic nails. Unlike other disorders associated with desmoplakin mutation, no cardiac symptoms are reported in this disease.","Congenital malformation"
"H00052","Clear cell sarcoma of soft tissue","Soft tissue sarcomas account for only about 1% of all malignant diseases and there are less than 8,700 new cases per year in the United States. Clear cell sarcoma (CCS), a highly malignant tumor of deep soft tissues is perhaps the rarest of these. CCS is characterized by the translocation t(12;22)(q13;q12). This translocation rearranges the ATF1 gene at 12q13 and the EWSR1 gene at 22q12, originating an EWSR1/ATF1 fusion gene. Given its specificity, this genetic aberration is considered pathognomonic for CCS and can be used as a diagnostic marker of this neoplasia.","Cancer"
"H01180","Sveinsson chorioretinal atrophy (SCRA)","Sveinsson chorioretinal atrophy (SCRA), also referred to as helicoid peripapillary chorioretinal degeneration (HPCD), is a distinct autosomal dominant disease affecting both eyes characterized clinically by bilateral, well defined, tongue-shaped strips of atrophic retina and choroid that extend from the optic nerve into the peripheral ocular fundus. The lesions may be evident at birth and usually progress throughout life, sometimes leading to central visual loss. Clinical findings suggest that the expansion of the degenerative lesions is caused by dysplastic abnormalities of the peripapillary retinal pigment epithelium (RPE) and the mechanical tearing of the RPE layer owing to the growth of the globe. Patients with SCRA have a mutation in the TEAD1 gene.","Nervous system disease"
"H00260","Pigmented micronodular adrenocortical disease","Primary pigmented micronodular adrenocortical disease (PPNAD) is a form of ACTH-independent adrenal hyperplasia resulting in endogenous Cushing's syndrome.","Endocrine disease"
"H02153","Megalencephaly-capillary malformation syndrome","Megalencephaly-capillary malformation (MCAP) syndrome is a rare overgrowth syndrome. The main symptoms are progressive megalencephaly, polymicrogyria, capillary malformations, syndactyly, and connective tissue dysplasia. Mutations in PIK3CA have been reported in MCAP patients.","Congenital malformation"
"H00604","Deafness, autosomal dominant","Hereditary deafness is divided into syndromic forms (in which hearing loss is associated with a variety of other anomalies) and non-syndromic forms. Non-syndromic forms are responsible for 70% of the cases of hereditary etiology and syndromic cases represent 30% of them. Among the forms of heritage, autosomal-recessive inheritance is the most frequent one (75%-85%), followed by autosomal-dominant inheritance (12-13%) and X-linked or mitochondrial, with 2-3% of the cases of non-syndromic hearing loss. Autosomal-dominant forms of deafness are usually post-lingual and progressive. Dominant mutations may be consistent with initial function and subsequent hearing loss owing to accumulation of pathology.","Nervous system disease"
"H00436","Osteopetrosis","The osteopetroses are a heterogeneous group of disorders characterized by increased bone density and the replacement of trabecular bone with compact bone due to reduced osteoclastic bone resorption. Some osteopetrotic conditions exhibit additional clinical features including renal tubular acidosis and secondary neurological impairment. In forms of osteopetrosis with normal osteoclast counts, most of the mutated genes encode proteins that regulate the intra- and extracellular pH of osteoclasts, such as TCIRG1 gene encoding for the a3 subunit of the V-ATPase and CLCN7 gene. In cases with decreased osteoclast counts, osteoclast differentiation is impaired by mutations in RANKL or RANK. These RANK-deficient patients could be rescued by hematopoietic stem cell transplantation.","Congenital malformation"
"H02361","Myoclonic-atonic epilepsy","Myoclonic-atonic epilepsy (MAE) is an autosomal dominant disorder caused by mutations in SLC6A1. GAT-1, encoded by SLC6A1, is one of the major gamma-aminobutyric acid (GABA) transporters in the brain and is responsible for reuptake of GABA from the synapse.","Nervous system disease"
"H01722","Galloway-Mowat syndrome","Galloway-Mowat Syndrome (GAMOS) is an autosomal recessively inherited condition characterized by the association of nephrotic syndrome and central nervous system involvement. Several case reports and studies on small series describing the clinical and histopathological features of GAMOS have revealed the clinical heterogeneity of this condition. The consistent morphological hallmark is microcephaly, which is often present at birth (primary microcephaly) but might also develop postnatally (secondary microcephaly). Major brain abnormalities include cerebral atrophy and neural-migration defects, such as agyria, microgyria, or polymicrogyria. These structural brain abnormalities are associated with severe psychomotor impairment, hypotonia, and seizures in half of all cases. The nephrotic syndrome occurs in the first four months of life with an average of three months, and a congenital nephrotic syndrome has rarely been described. This nephrotic syndrome is steroid-resistant and associated with a constant and rapid deterioration of renal function. Death usually occurs within few years from the onset. Very recently, several genes have been identified as the cause of GAMOS.","Congenital malformation"
"H01510","Malignant paraganglioma","Paragangliomas (PGLs) are rare neuroendocrine tumors that arise in sympathetic and parasympathetic paraganglia and derive from neural crest cells. Malignancy is defined by presence of metastases, tumor spread in sites where chromaffin tissue is normally absent such as lymph nodes, liver, lungs, and bones. Malignant PGLs are extremely rare. The pathogenesis and progression of PGLs are very strongly influenced by genetics. A germline mutation in one of the susceptibility genes identified so far explains ~40% of all cases; the remaining 60% are thought to be sporadic cases. Sporadic as well as hereditary PGLs have been divided in two main clusters linked to two different signalling pathways: the first cluster contains all VHL-, SDHx-, and FH- mutated tumors and is associated to the activation of hypoxic pathway, while the second cluster contains all RET- , NF1-, MAX and TMEM127- mutated tumors and is associated to the activation of MAPK and mTOR (mammalian target of rapamycin) signaling pathways.","Cancer"
